Adress,Educational Institute,Restaurants,Medical Service,Parks
"Block D, Section 15, Mirpur, Dhaka",50,46,8,17
"Block D, Section 2, Mirpur, Dhaka",47,48,5,19
"Block D, Section 6, Mirpur, Dhaka",44,45,15,21
"Block D, South Banasree Project, Banasree, Dhaka",4,5,1,3
"Block D2, Section 10, Mirpur, Dhaka",45,47,20,24
"Block Dha, Section 12, Mirpur, Dhaka",50,46,20,20
"Block E, Aftab Nagar, Dhaka",4,5,2,5
"Block E, Arambag Residential Area, Pallabi, Mirpur, Dhaka",50,26,6,13
"Block E, Arifabad Housing Society, Pallabi, Mirpur, Dhaka",50,29,50,11
"Block E, Banasree, Dhaka",8,12,10,8
"Block E, Bank Colony, Savar, Dhaka",8,42,24,3
"Block E, Bashundhara R-A, Dhaka",9,11,3,3
"Block E, Chandrima Model Town, Mohammadpur, Dhaka",6,1,5,2
"Block E, Dolipara, Uttara, Dhaka",18,47,1,16
"Block E, Eastern Housing, Pallabi, Mirpur, Dhaka",21,40,1,16
"Block E, Kaderabad Housing Society, Bosila, Mohammadpur, Dhaka",50,50,25,33
"Block E, Lalmatia, Dhaka",46,40,28,27
"Block E, Niketan, Dhaka",50,41,44,18
"Block E, Section 1, Mirpur, Dhaka",28,27,3,13
"Block E, Section 11, Mirpur, Dhaka",48,45,18,26
"Block E, Section 12, Mirpur, Dhaka",46,40,18,21
"Block E, Section 2, Mirpur, Dhaka",49,42,5,16
"Block E, Section 6, Mirpur, Dhaka",40,38,16,20
"Block E, South Banasree Project, Banasree, Dhaka",4,5,1,3
"Block E1, Chandrima Model Town, Mohammadpur, Dhaka",6,1,5,2
"Block F, Aftab Nagar, Dhaka",4,5,2,5
"Block F, Arambag Residential Area, Pallabi, Mirpur, Dhaka",50,26,6,13
"Block F, aziz Moholla, Mohammadpur, Dhaka",48,39,46,35
"Block F, Banasree, Dhaka",5,7,2,4
"Block F, Bashundhara R-A, Dhaka",6,10,2,3
"Block F, Dhaka Uddan, Mohammadpur, Dhaka",44,14,50,3
"Block F, Dolipara, Uttara, Dhaka",18,47,1,16
"Block F, Eastern Housing, Pallabi, Mirpur, Dhaka",21,40,1,16
"Block F, Mohammadpur, Dhaka",50,38,0,41
"Block F, Section 1, Mirpur, Dhaka",26,27,3,13
"Block F, Section 11, Mirpur, Dhaka",50,50,19,28
"Block F, Section 2, Mirpur, Dhaka",50,0,5,19
"Block F, South Banasree Project, Banasree, Dhaka",4,5,1,3
"Block G, Arambag Residential Area, Pallabi, Mirpur, Dhaka",50,26,6,13
"Block G, Arifabad Housing Society, Pallabi, Mirpur, Dhaka",50,29,50,11
"Block G, Banasree, Dhaka",5,9,3,7
"Block G, Bashundhara R-A, Dhaka",5,5,1,3
"Block G, Section 1, Mirpur, Dhaka",26,27,3,13
"Block G, Section 2, Mirpur, Dhaka",50,0,5,19
"Block G, South Banasree Project, Banasree, Dhaka",4,5,1,3
"Block G/1, Section 2, Mirpur, Dhaka",50,0,5,19
"Block H, Aftab Nagar, Dhaka",2,2,1,1
"Block H, Banasree, Dhaka",3,4,1,3
"Block H, Bank Colony, Savar, Dhaka",8,50,24,3
"Block H, Bashundhara R-A, Dhaka",1,0,0,1
"Block H, Bochila Garden City, Bochila, Mohammadpur, Dhaka",20,0,0,9
"Block H, Eastern Housing, Pallabi, Mirpur, Dhaka",21,40,1,16
"Block H, Kazi Furi, Ghudaraghat, Section 1, Mirpur, Dhaka",50,26,6,13
"Block H, Section 2, Mirpur, Dhaka",50,0,5,19
"Block H, South Banasree Project, Banasree, Dhaka",4,5,1,3
"Block I Extension, Bashundhara R-A, Dhaka",6,0,2,2
"Block I, Arifabad Housing Society, Pallabi, Mirpur, Dhaka",50,29,50,11
"Block I, Bank Colony, Savar, Dhaka",8,50,24,3
"Block I, Bashundhara R-A, Dhaka",5,0,2,3
"Block J, Banasree, Dhaka",3,2,1,1
"Block J, Baridhara, Dhaka",20,50,14,21
"Block J, Bashundhara R-A, Dhaka",2,0,0,1
